State,Language,Minutes,Month,Year
Austin,Spanish,27,4,2015
Chicago,Polish,37,4,2015
Chicago,Spanish,27,4,2015
Chicago,Polish,10,4,2015
Chicago,Spanish,5,4,2015
Chicago,Spanish,12,4,2015
Chicago,Spanish,3,4,2015
Chicago,Spanish,25,4,2015
Chicago,Spanish,26,4,2015
Chicago,Spanish,19,4,2015
Chicago,Spanish,21,4,2015
Chicago,Spanish,8,4,2015
Chicago,Spanish,11,4,2015
Chicago,Bulgarian,28,4,2015
Chicago,Spanish,23,4,2015
Chicago,Spanish,11,4,2015
Chicago,Spanish,27,4,2015
Chicago,Spanish,41,4,2015
Chicago,Spanish,29,4,2015
Chicago,Spanish,28,4,2015
Chicago,Spanish,7,4,2015
Chicago,Polish,57,4,2015
Chicago,Spanish,1,4,2015
Chicago,Spanish,83,4,2015
Chicago,Spanish,5,4,2015
Chicago,Spanish,15,4,2015
Chicago,Spanish,3,4,2015
Chicago,Spanish,6,4,2015
Chicago,Polish,7,4,2015
Chicago,Spanish,6,4,2015
Chicago,Russian,5,4,2015
Chicago,Spanish,6,4,2015
Chicago,Spanish,20,4,2015
Chicago,Spanish,6,4,2015
Chicago,Spanish,29,4,2015
Chicago,Spanish,22,4,2015
Chicago,Korean,8,4,2015
Chicago,Spanish,5,4,2015
Chicago,Tagalog,7,4,2015
Chicago,Spanish,6,4,2015
Chicago,Spanish,25,4,2015
Chicago,Spanish,7,4,2015
Chicago,Spanish,6,4,2015
Chicago,Russian,8,4,2015
Chicago,Spanish,38,4,2015
Chicago,Spanish,9,4,2015
Chicago,Spanish,8,4,2015
Chicago,Korean,76,4,2015
Chicago,Spanish,8,4,2015
Chicago,Spanish,58,4,2015
Chicago,Spanish,1,4,2015
Chicago,Spanish,19,4,2015
Chicago,Spanish,7,4,2015
Chicago,Polish,4,4,2015
Chicago,Spanish,4,4,2015
Chicago,Spanish,8,4,2015
Chicago,Spanish,14,4,2015
Chicago,Spanish,8,4,2015
Chicago,Spanish,4,4,2015
Chicago,Spanish,4,4,2015
Chicago,Spanish,17,4,2015
Chicago,Spanish,8,4,2015
Chicago,Spanish,6,4,2015
Chicago,Spanish,56,4,2015
Chicago,Spanish,15,4,2015
Chicago,Spanish,29,4,2015
Chicago,Spanish,34,4,2015
Chicago,Spanish,13,4,2015
Chicago,Spanish,13,4,2015
Chicago,Spanish,2,4,2015
Chicago,Spanish,13,4,2015
Chicago,Spanish,58,4,2015
Chicago,Polish,26,4,2015
Cleveland,Spanish,19,4,2015
Cleveland,Lao,16,4,2015
Corpus Christi,Spanish,16,4,2015
Des Moines,Spanish,6,4,2015
Detroit,Spanish,6,4,2015
Detroit,Bengali,3,4,2015
Detroit,Spanish,7,4,2015
Detroit,Arabic,13,4,2015
Detroit,Arabic,6,4,2015
Detroit,Arabic,10,4,2015
Detroit,Spanish,16,4,2015
El Paso,Spanish,8,4,2015
El Paso,Spanish,41,4,2015
El Paso,Spanish,8,4,2015
El Paso,Spanish,14,4,2015
El Paso,Spanish,11,4,2015
El Paso,Spanish,22,4,2015
El Paso,Spanish,16,4,2015
El Paso,Spanish,8,4,2015
El Paso,Spanish,9,4,2015
El Paso,Spanish,18,4,2015
El Paso,Spanish,8,4,2015
El Paso,Spanish,9,4,2015
El Paso,Spanish,10,4,2015
El Paso,Spanish,14,4,2015
El Paso,Spanish,15,4,2015
El Paso,Spanish,7,4,2015
El Paso,Spanish,19,4,2015
El Paso,Spanish,16,4,2015
El Paso,Spanish,16,4,2015
El Paso,Spanish,18,4,2015
El Paso,Spanish,33,4,2015
El Paso,Spanish,9,4,2015
El Paso,Spanish,20,4,2015
El Paso,Spanish,8,4,2015
El Paso,Spanish,9,4,2015
El Paso,Spanish,9,4,2015
El Paso,Spanish,62,4,2015
El Paso,Spanish,15,4,2015
El Paso,Spanish,10,4,2015
El Paso,Spanish,10,4,2015
El Paso,Spanish,11,4,2015
El Paso,Spanish,14,4,2015
El Paso,Spanish,10,4,2015
El Paso,Spanish,15,4,2015
El Paso,Spanish,9,4,2015
El Paso,Spanish,15,4,2015
El Paso,Spanish,14,4,2015
El Paso,Spanish,18,4,2015
Ft. Wayne,Lao,30,4,2015
Grand Rapids,Vietnamese,17,4,2015
Houston,Spanish,16,4,2015
Houston,Spanish,3,4,2015
Houston,Spanish,5,4,2015
Houston,Vietnamese,1,4,2015
Houston,Vietnamese,30,4,2015
Houston,Spanish,13,4,2015
Houston,Spanish,6,4,2015
Houston,Spanish,2,4,2015
Houston,Spanish,3,4,2015
Houston,Spanish,3,4,2015
Houston,Vietnamese,15,4,2015
Houston,Spanish,13,4,2015
Houston,Vietnamese,14,4,2015
Houston,Spanish,8,4,2015
Houston,Spanish,7,4,2015
Houston,Spanish,8,4,2015
Houston,Spanish,6,4,2015
Houston,Korean,15,4,2015
Houston,Spanish,10,4,2015
Houston,Spanish,10,4,2015
Houston,Spanish,17,4,2015
Indianapolis,Spanish,1,4,2015
Indianapolis,Spanish,10,4,2015
Kansas City,Spanish,30,4,2015
Kansas City,Spanish,21,4,2015
Detroit,Spanish,9,4,2015
Laredo,Spanish,63,4,2015
Laredo,Spanish,20,4,2015
Omaha,Spanish,8,4,2015
Little Rock,Marshallese,6,4,2015
Little Rock,Spanish,14,4,2015
Little Rock,Spanish,12,4,2015
Louisville,Bosnian,9,4,2015
Louisville,Spanish,7,4,2015
Louisville,Spanish,15,4,2015
Louisville,Spanish,2,4,2015
Louisville,Spanish,4,4,2015
Madison,Spanish,12,4,2015
Madison,Polish,8,4,2015
Memphis,Telugu,12,4,2015
Memphis,Arabic,9,4,2015
South Bend,Spanish,17,4,2015
San Antonio,Spanish,9,4,2015
San Antonio,Spanish,10,4,2015
Milwaukee,Japanese,109,4,2015
Milwaukee,Chinese Mandarin,16,4,2015
Milwaukee,Spanish,13,4,2015
Milwaukee,Hmong,13,4,2015
Milwaukee,Spanish,13,4,2015
Milwaukee,Spanish,10,4,2015
Milwaukee,Spanish,13,4,2015
Milwaukee,Spanish,11,4,2015
Milwaukee,Spanish,13,4,2015
Milwaukee,Spanish,8,4,2015
Milwaukee,Serbian,13,4,2015
Milwaukee,Spanish,10,4,2015
Minneapolis,Bosnian,13,4,2015
Minneapolis,Spanish,8,4,2015
Minneapolis,Hmong,10,4,2015
Minneapolis,Hmong,11,4,2015
Minneapolis,Spanish,15,4,2015
Minneapolis,Spanish,11,4,2015
Minneapolis,Spanish,5,4,2015
Nashville,Cambodian,5,4,2015
Nashville,Spanish,5,4,2015
Nashville,Vietnamese,5,4,2015
Nashville,Spanish,23,4,2015
Nashville,Spanish,17,4,2015
Nashville,Spanish,5,4,2015
Nashville,Arabic,12,4,2015
Omaha,Spanish,10,4,2015
Omaha,Spanish,9,4,2015
Omaha,Spanish,6,4,2015
Omaha,Spanish,6,4,2015
Omaha,Spanish,7,4,2015
Omaha,Spanish,8,4,2015
Omaha,Spanish,8,4,2015
Madison,Spanish,13,4,2015
Madison,Spanish,10,4,2015
Madison,Spanish,9,4,2015
Madison,Spanish,11,4,2015
Madison,Serbian,7,4,2015
Madison,Spanish,9,4,2015
Madison,Spanish,9,4,2015
Madison,Spanish,9,4,2015
Madison,Spanish,12,4,2015
Madison,Spanish,7,4,2015
Madison,Spanish,18,4,2015
Madison,Tagalog,10,4,2015
Madison,Spanish,14,4,2015
San Antonio,Spanish,32,4,2015
San Antonio,Spanish,21,4,2015
San Antonio,Spanish,37,4,2015
San Antonio,Spanish,89,4,2015
San Antonio,Spanish,31,4,2015
San Antonio,Spanish,18,4,2015
San Antonio,Spanish,41,4,2015
San Antonio,Spanish,11,4,2015
San Antonio,Spanish,8,4,2015
San Antonio,Spanish,9,4,2015
Sioux Falls,Spanish,9,4,2015
South Bend,Spanish,28,4,2015
South Bend,Spanish,8,4,2015
South Bend,Spanish,8,4,2015
South Bend,Spanish,8,4,2015
Kansas City,Spanish,13,4,2015
Minneapolis,Hmong,5,4,2015
